City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Labuhan,ID,2022-07-23 18:39:49,-6.8844,112.2051,75.9,85,94,5.79,overcast clouds
1,Muravlenko,RU,2022-07-23 18:35:16,63.7898,74.523,50.54,95,100,21.74,moderate rain
2,Grand-Santi,GF,2022-07-23 18:39:49,4.25,-54.3833,83.73,78,100,2.35,overcast clouds
3,Quatre Cocos,MU,2022-07-23 18:39:49,-20.2078,57.7625,69.91,75,40,17.07,light rain
4,Avarua,CK,2022-07-23 18:38:27,-21.2078,-159.775,73.45,68,75,9.22,broken clouds
5,Dikson,RU,2022-07-23 18:39:50,73.5069,80.5464,51.62,74,48,10.83,scattered clouds
6,Geraldton,AU,2022-07-23 18:39:50,-28.7667,114.6,57.61,67,100,18.41,overcast clouds
7,East London,ZA,2022-07-23 18:39:51,-33.0153,27.9116,57.7,78,100,21.77,light rain
8,Cidreira,BR,2022-07-23 18:39:51,-30.1811,-50.2056,64.44,94,30,10.51,scattered clouds
9,Talnakh,RU,2022-07-23 18:39:51,69.4865,88.3972,69.21,68,100,6.15,overcast clouds
10,Hithadhoo,MV,2022-07-23 18:39:52,-0.6,73.0833,81.1,75,100,7.43,overcast clouds
11,Ler,SS,2022-07-23 18:39:52,8.3018,30.1418,74.3,85,99,3.51,overcast clouds
12,Hilo,US,2022-07-23 18:39:52,19.7297,-155.09,83.28,96,100,5.75,light rain
13,Lebu,CL,2022-07-23 18:39:53,-37.6167,-73.65,53.67,90,100,5.21,overcast clouds
14,Atuona,PF,2022-07-23 18:39:53,-9.8,-139.0333,76.78,80,46,18.63,light rain
15,Half Moon Bay,US,2022-07-23 18:39:53,37.4636,-122.4286,62.13,71,42,8.23,scattered clouds
16,Mount Gambier,AU,2022-07-23 18:39:54,-37.8333,140.7667,49.91,100,100,11.5,mist
17,Mataura,NZ,2022-07-23 18:39:54,-46.1927,168.8643,32.25,89,100,2.37,overcast clouds
18,Aldan,RU,2022-07-23 18:39:54,58.6031,125.3894,66.18,72,86,5.37,overcast clouds
19,Aktau,KZ,2022-07-23 18:39:55,43.65,51.2,75.78,65,83,13.65,light rain
20,Puerto Ayora,EC,2022-07-23 18:39:55,-0.7393,-90.3518,78.76,86,94,5.01,overcast clouds
21,Pevek,RU,2022-07-23 18:39:55,69.7008,170.3133,35.42,85,100,1.66,overcast clouds
22,Kurumkan,RU,2022-07-23 18:39:56,54.3,110.3,61.47,93,100,2.71,moderate rain
23,Coihaique,CL,2022-07-23 18:39:56,-45.5752,-72.0662,33.21,89,99,3.33,overcast clouds
24,Albany,US,2022-07-23 18:38:53,42.6001,-73.9662,96.42,38,7,8.84,clear sky
25,Victoria,HK,2022-07-23 18:36:00,22.2855,114.1577,85.73,76,58,11.48,broken clouds
26,Wawa,NG,2022-07-23 18:39:57,9.9022,4.4192,73.31,95,100,5.86,moderate rain
27,Kapaa,US,2022-07-23 18:39:57,22.0752,-159.319,80.58,74,40,12.66,scattered clouds
28,Junagarh,IN,2022-07-23 18:39:57,19.8667,82.9333,76.6,91,100,4.83,overcast clouds
29,Busselton,AU,2022-07-23 18:39:58,-33.65,115.3333,51.15,65,69,13.98,broken clouds
30,Zelenoborsk,RU,2022-07-23 18:39:58,61.4669,64.0333,52.25,63,60,3.8,broken clouds
31,Hofn,IS,2022-07-23 18:39:59,64.2539,-15.2082,53.2,81,89,2.48,overcast clouds
32,Omis,HR,2022-07-23 18:39:59,43.4447,16.6886,81.3,39,0,1.99,clear sky
33,Rikitea,PF,2022-07-23 18:39:59,-23.1203,-134.9692,72.07,69,0,7.76,clear sky
34,Hobyo,SO,2022-07-23 18:40:00,5.3505,48.5268,76.59,83,26,28.34,scattered clouds
35,Huarmey,PE,2022-07-23 18:40:00,-10.0681,-78.1522,66.45,76,33,9.44,scattered clouds
36,Soyo,AO,2022-07-23 18:40:00,-6.1349,12.3689,70.63,88,100,8.3,overcast clouds
37,Pacific Grove,US,2022-07-23 18:40:01,36.6177,-121.9166,64.35,87,75,11.99,broken clouds
38,Grindavik,IS,2022-07-23 18:40:01,63.8424,-22.4338,55.35,82,75,13.8,broken clouds
39,Nemuro,JP,2022-07-23 18:40:01,43.3236,145.575,59.94,96,99,12.15,overcast clouds
40,Ushuaia,AR,2022-07-23 18:40:02,-54.8,-68.3,37.06,75,75,12.66,broken clouds
41,Mahebourg,MU,2022-07-23 18:40:02,-20.4081,57.7,70.5,74,49,17.58,light rain
42,Ukiah,US,2022-07-23 18:40:02,39.1502,-123.2078,97.23,12,0,4.18,clear sky
43,Samfya,ZM,2022-07-23 18:40:03,-11.3649,29.5565,67.73,49,65,12.68,broken clouds
44,Sitka,US,2022-07-23 18:40:03,57.0531,-135.33,55.29,88,100,3.44,mist
45,Iqaluit,CA,2022-07-23 18:40:04,63.7506,-68.5145,46.13,93,75,6.91,broken clouds
46,Kahului,US,2022-07-23 18:37:12,20.8947,-156.47,80.62,70,40,12.66,scattered clouds
47,San Jose,US,2022-07-23 18:39:56,37.3394,-121.895,83.86,40,20,5.75,few clouds
48,Terra Santa,BR,2022-07-23 18:40:04,-2.1042,-56.4869,87.44,57,100,1.72,overcast clouds
49,Hermanus,ZA,2022-07-23 18:41:05,-34.4187,19.2345,48.79,69,9,5.61,clear sky
50,Georgetown,MY,2022-07-23 18:36:25,5.4112,100.3354,80.53,94,40,5.75,scattered clouds
51,Bredasdorp,ZA,2022-07-23 18:41:05,-34.5322,20.0403,48.83,75,18,4.63,few clouds
52,Punta Gorda,US,2022-07-23 18:39:28,26.9298,-82.0454,90.32,53,98,3.11,overcast clouds
53,Tasiilaq,GL,2022-07-23 18:41:06,65.6145,-37.6368,41.16,75,100,1.25,overcast clouds
54,Jos,NG,2022-07-23 18:41:06,9.9167,8.9,64.27,93,100,2.8,light rain
55,Yerbogachen,RU,2022-07-23 18:41:06,61.2767,108.0108,67.51,94,96,8.41,overcast clouds
56,Jamestown,US,2022-07-23 18:41:07,42.097,-79.2353,87.03,55,0,13.8,clear sky
57,Moose Factory,CA,2022-07-23 18:41:07,51.2585,-80.6094,68.0,52,20,10.36,few clouds
58,Barrow,US,2022-07-23 18:41:07,71.2906,-156.7887,37.42,87,100,10.36,mist
59,Ribeira Grande,PT,2022-07-23 18:41:08,38.5167,-28.7,75.15,81,97,6.29,overcast clouds
60,Hambantota,LK,2022-07-23 18:41:08,6.1241,81.1185,79.14,89,20,5.75,few clouds
61,Pangody,RU,2022-07-23 18:41:08,65.85,74.4859,51.98,88,100,17.67,overcast clouds
62,Kavaratti,IN,2022-07-23 18:41:09,10.5669,72.642,81.27,78,100,17.83,overcast clouds
63,Gat,IL,2022-07-23 18:37:01,31.61,34.7642,81.81,100,0,3.58,clear sky
64,Werda,BW,2022-07-23 18:41:09,-25.2667,23.2833,65.46,31,41,3.65,scattered clouds
65,Taoudenni,ML,2022-07-23 18:41:10,22.6783,-3.9836,106.59,6,0,5.35,clear sky
66,Bluff,NZ,2022-07-23 18:41:10,-46.6,168.3333,31.8,80,90,5.59,overcast clouds
67,Hasaki,JP,2022-07-23 18:39:14,35.7333,140.8333,76.44,86,97,10.49,overcast clouds
68,Mecca,SA,2022-07-23 18:41:10,21.4267,39.8261,91.92,45,55,4.85,broken clouds
69,Castro,BR,2022-07-23 18:41:11,-24.7911,-50.0119,71.65,50,100,4.16,overcast clouds
70,Belyy Yar,RU,2022-07-23 18:41:11,53.6039,91.3903,55.85,100,0,4.47,clear sky
71,Souillac,MU,2022-07-23 18:41:12,-20.5167,57.5167,70.18,83,40,13.8,scattered clouds
72,Nevsehir,TR,2022-07-23 18:41:12,38.9167,34.6667,70.81,27,0,17.27,clear sky
73,Nikolskoye,RU,2022-07-23 18:41:12,59.7035,30.7861,69.69,97,15,2.39,moderate rain
74,Quibdo,CO,2022-07-23 18:41:13,5.6947,-76.6611,81.46,85,100,4.05,overcast clouds
75,Changde,CN,2022-07-23 18:41:13,29.0464,111.6783,76.89,93,49,1.36,scattered clouds
76,Juegang,CN,2022-07-23 18:41:14,32.3174,121.1855,73.15,92,53,7.11,broken clouds
77,Mehamn,NO,2022-07-23 18:41:14,71.0357,27.8492,51.71,100,100,12.66,drizzle
78,Lodwar,KE,2022-07-23 18:41:14,3.1191,35.5973,86.11,35,10,1.97,clear sky
79,Tanete,ID,2022-07-23 18:41:15,-3.9443,119.7848,71.62,94,80,4.23,broken clouds
80,Torres,BR,2022-07-23 18:41:15,-29.3353,-49.7269,74.82,87,33,7.25,scattered clouds
81,Alofi,NU,2022-07-23 18:41:15,-19.0595,-169.9187,69.69,88,100,11.5,overcast clouds
82,De-Kastri,RU,2022-07-23 18:41:16,51.4667,140.7833,56.59,87,6,2.13,clear sky
83,Lompoc,US,2022-07-23 18:41:16,34.6391,-120.4579,73.54,80,100,10.36,overcast clouds
84,Port Lincoln,AU,2022-07-23 18:41:16,-34.7333,135.8667,53.46,75,35,11.16,light rain
85,Constitucion,CL,2022-07-23 18:41:17,-35.3333,-72.4167,57.42,79,100,2.57,overcast clouds
86,Qaanaaq,GL,2022-07-23 18:41:17,77.484,-69.3632,37.8,97,100,3.22,overcast clouds
87,Yellowknife,CA,2022-07-23 18:40:39,62.456,-114.3525,65.91,45,38,16.98,scattered clouds
88,Garhi Yasin,PK,2022-07-23 18:41:18,27.9069,68.511,84.22,86,100,7.7,overcast clouds
89,Cherskiy,RU,2022-07-23 18:41:18,68.75,161.3,53.62,53,17,0.85,few clouds
90,Vaini,TO,2022-07-23 18:41:18,-21.2,-175.2,69.96,83,40,9.22,scattered clouds
91,Torbay,CA,2022-07-23 18:41:19,47.6666,-52.7314,81.37,74,75,12.66,broken clouds
92,Katobu,ID,2022-07-23 18:41:19,-4.9408,122.5276,71.13,86,41,5.32,scattered clouds
93,Jalu,LY,2022-07-23 18:41:19,29.0331,21.5482,89.62,20,0,8.84,clear sky
94,Te Anau,NZ,2022-07-23 18:41:20,-45.4167,167.7167,36.77,95,94,1.16,overcast clouds
95,Salalah,OM,2022-07-23 18:42:20,17.0151,54.0924,77.79,88,55,6.67,broken clouds
96,Stalowa Wola,PL,2022-07-23 18:41:12,50.5829,22.0533,68.13,85,100,10.0,moderate rain
97,Vanavara,RU,2022-07-23 18:42:21,60.34,102.2797,60.13,98,95,6.02,light rain
98,Lagoa,PT,2022-07-23 18:41:14,39.05,-27.9833,73.49,85,11,9.6,few clouds
99,Butaritari,KI,2022-07-23 18:42:21,3.0707,172.7902,81.93,73,36,15.21,scattered clouds
100,Ippy,CF,2022-07-23 18:42:21,6.2679,21.2247,67.95,97,96,1.28,overcast clouds
101,Alappuzha,IN,2022-07-23 18:42:22,9.49,76.3264,78.01,87,78,7.92,light rain
102,Saskylakh,RU,2022-07-23 18:42:22,71.9167,114.0833,49.77,90,79,1.01,broken clouds
103,Tautira,PF,2022-07-23 18:42:22,-17.7333,-149.15,78.37,77,5,15.95,light rain
104,Talara,PE,2022-07-23 18:42:23,-4.5772,-81.2719,75.96,64,0,11.5,clear sky
105,Bambous Virieux,MU,2022-07-23 18:42:23,-20.3428,57.7575,70.05,83,40,13.8,light rain
106,Shenjiamen,CN,2022-07-23 18:42:23,29.9576,122.298,77.45,95,33,12.21,scattered clouds
107,Tuktoyaktuk,CA,2022-07-23 18:42:24,69.4541,-133.0374,50.0,100,100,9.22,light rain
108,Sur,OM,2022-07-23 18:42:24,22.5667,59.5289,88.63,63,54,15.19,broken clouds
109,Port Alfred,ZA,2022-07-23 18:42:24,-33.5906,26.891,54.18,85,100,7.0,overcast clouds
110,Maniitsoq,GL,2022-07-23 18:42:25,65.4167,-52.9,45.23,88,78,3.87,broken clouds
111,Cape Town,ZA,2022-07-23 18:39:47,-33.9258,18.4232,57.38,73,75,13.8,broken clouds
112,Moree,AU,2022-07-23 18:42:25,-29.4667,149.85,51.03,75,99,6.26,overcast clouds
113,Natal,BR,2022-07-23 18:42:26,-5.795,-35.2094,86.22,58,75,17.27,broken clouds
114,Altay,CN,2022-07-23 18:42:26,47.8667,88.1167,60.28,43,66,3.38,broken clouds
115,Ust-Nera,RU,2022-07-23 18:42:26,64.5667,143.2,61.81,89,100,5.01,overcast clouds
116,Saint-Philippe,RE,2022-07-23 18:42:27,-21.3585,55.7679,69.39,85,53,13.78,light rain
117,Nome,US,2022-07-23 18:37:30,64.5011,-165.4064,48.27,87,100,12.66,moderate rain
118,Cozumel,MX,2022-07-23 18:42:27,20.5083,-86.9458,91.47,75,75,12.66,broken clouds
