City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Labuhan,ID,75.9,overcast clouds,-6.8844,112.2051,DoubleFAG
2,Grand-Santi,GF,83.73,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
10,Hithadhoo,MV,81.1,overcast clouds,-0.6,73.0833,Scoop Guest House
12,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
14,Atuona,PF,76.78,light rain,-9.8,-139.0333,Villa Enata
19,Aktau,KZ,75.78,light rain,43.65,51.2,Silk Way Hotel
20,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Victoria,HK,85.73,broken clouds,22.2855,114.1577,Mini Central
27,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Junagarh,IN,76.6,overcast clouds,19.8667,82.9333,Hotel Swagat
32,Omis,HR,81.3,clear sky,43.4447,16.6886,Hotel Villa Dvor
34,Hobyo,SO,76.59,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
46,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
47,San Jose,US,83.86,few clouds,37.3394,-121.895,The Westin San Jose
48,Terra Santa,BR,87.44,overcast clouds,-2.1042,-56.4869,Hotel Sarah
50,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
56,Jamestown,US,87.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Ribeira Grande,PT,75.15,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
60,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
62,Kavaratti,IN,81.27,overcast clouds,10.5669,72.642,Green leaf
63,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
67,Hasaki,JP,76.44,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
74,Quibdo,CO,81.46,overcast clouds,5.6947,-76.6611,Domus Goval Hotel Quibdó
75,Changde,CN,76.89,scattered clouds,29.0464,111.6783,Kangshida Hotel
78,Lodwar,KE,86.11,clear sky,3.1191,35.5973,Solmar Gracious Hotel
88,Garhi Yasin,PK,84.22,overcast clouds,27.9069,68.511,Hashmi Guest House
91,Torbay,CA,81.37,broken clouds,47.6666,-52.7314,Gallows Cove
93,Jalu,LY,89.62,clear sky,29.0331,21.5482,صاحبة الفخامة
95,Salalah,OM,77.79,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
99,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
101,Alappuzha,IN,78.01,light rain,9.49,76.3264,Panoramic Sea Resort
103,Tautira,PF,78.37,light rain,-17.7333,-149.15,Pension Oaoa
104,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
106,Shenjiamen,CN,77.45,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
108,Sur,OM,88.63,broken clouds,22.5667,59.5289,Sur Plaza Hotel
113,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
121,Praia Da Vitoria,PT,75.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
123,Hamilton,US,85.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
126,Buala,SB,78.58,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
128,Aloleng,PH,83.5,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
132,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
134,Orange,US,79.21,clear sky,33.7,-117.7675,Meadows
135,Dire,ML,77.95,light rain,12.2833,-10.9667,
145,Pangoa,PE,87.55,broken clouds,-12.1167,-73.0,
146,Turbat,PK,84.29,overcast clouds,26.0023,63.044,Mubashar Quarters
148,Huicungo,PE,88.05,few clouds,-7.2833,-76.8,Gran Pajaten Trek
150,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
152,Langarud,IR,75.96,clear sky,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
154,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
157,Canning,IN,82.42,moderate rain,22.3189,88.6714,Baccha Buro House
161,Surt,LY,81.28,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
163,Mangaluru,IN,76.06,overcast clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
164,Bengkulu,ID,75.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,Quepos,CR,80.82,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
167,Phan Thiet,VN,76.19,overcast clouds,10.9333,108.1,Hotel Saigon-PT
169,Caravelas,BR,75.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
170,Camocim,BR,84.61,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
